time,temp
1705361400.0,28.5
1705363200.0,29.0
1705365000.0,29.0
1705366800.0,28.7
1705368600.0,28.7
1705370400.0,28.5
1705372200.0,28.5
1705374000.0,28.5
1705375800.0,27.9
1705377600.0,27.5
1705379400.0,27.8
1705381200.0,28.3
1705383000.0,28.0
1705384800.0,27.6
1705386600.0,27.4
1705388400.0,27.5
1705390200.0,27.7
1705392000.0,28.0
1705393800.0,28.2
1705395600.0,28.5
1705397400.0,28.8
1705399200.0,28.9
1705401000.0,29.1
1705402800.0,29.2
1705404600.0,29.5
1705406400.0,29.7
1705408200.0,29.9
1705410000.0,30.3
1705411800.0,30.4
1705413600.0,30.7
1705415400.0,30.9
1705417200.0,31.2
1705419000.0,31.6
1705420800.0,31.9
1705422600.0,32.2
1705424400.0,32.5
1705426200.0,32.8
1705428000.0,32.9
1705429800.0,32.9
1705431600.0,32.9
1705433400.0,32.9
1705435200.0,32.4
1705437000.0,31.8
1705438800.0,31.8
1705440600.0,31.5
1705442400.0,31.5
1705444200.0,31.3
1705446000.0,31.2
1705447800.0,31.0
1705449600.0,30.7
1705451400.0,30.5
1705453200.0,30.0
1705455000.0,29.7
1705456800.0,29.5
1705458600.0,29.3
1705460400.0,29.0
1705462200.0,29.1
1705464000.0,29.0
1705465800.0,28.8
1705467600.0,28.8
1705469400.0,29.0
1705471200.0,28.9
1705473000.0,28.7
1705474800.0,28.0
1705476600.0,27.5
1705478400.0,27.5
1705480200.0,28.2
1705482000.0,28.3
1705483800.0,28.0
1705485600.0,28.0
1705487400.0,27.2
1705489200.0,26.8
1705491000.0,25.5
1705492800.0,24.5
1705494600.0,24.9
1705496400.0,26.1
1705498200.0,26.7
1705500000.0,27.0
1705501800.0,27.3
1705503600.0,27.5
1705505400.0,27.7
1705507200.0,28.1
1705509000.0,28.2
1705510800.0,28.4
1705512600.0,28.5
1705514400.0,28.5
1705516200.0,28.6
1705518000.0,28.7
1705519800.0,28.2
1705521600.0,27.6
1705523400.0,27.2
1705525200.0,26.8
1705527000.0,26.2
1705528800.0,26.0
1705530600.0,26.2
1705532400.0,26.2
1705534200.0,26.0
1705536000.0,25.9
1705537800.0,25.9
1705539600.0,25.8
1705541400.0,25.2
1705543200.0,24.4
1705545000.0,24.1
1705546800.0,23.9
1705548600.0,23.6
1705550400.0,23.5
1705552200.0,23.1
1705554000.0,23.7
1705555800.0,23.7
1705557600.0,23.5
1705559400.0,23.4
1705561200.0,23.2
1705563000.0,23.0
1705564800.0,23.3
1705566600.0,23.8
1705568400.0,24.6
1705570200.0,25.2
1705572000.0,25.2
1705573800.0,25.7
1705575600.0,26.2
1705577400.0,26.5
1705579200.0,26.5
1705581000.0,26.8
1705582800.0,26.9
1705584600.0,27.1
1705586400.0,27.2
1705588200.0,27.5
1705590000.0,26.7
1705591800.0,27.9
1705593600.0,28.0
1705595400.0,28.2
1705597200.0,28.6
1705599000.0,28.9
1705600800.0,29.0
1705602600.0,28.9
1705604400.0,27.6
1705606200.0,28.0
1705608000.0,25.8
1705609800.0,25.1
1705611600.0,25.4
1705613400.0,25.6
1705615200.0,26.3
1705617000.0,25.0
1705618800.0,24.3
1705620600.0,23.6
1705622400.0,23.0
1705624200.0,23.4
1705626000.0,23.5
1705627800.0,23.2
1705629600.0,23.0
1705631400.0,23.4
1705633200.0,23.4
1705635000.0,23.3
1705636800.0,23.1
1705638600.0,23.0
1705640400.0,22.9
1705642200.0,22.7
1705644000.0,22.5
1705645800.0,22.6
1705647600.0,22.6
1705649400.0,22.5
1705651200.0,22.7
1705653000.0,22.9
1705654800.0,23.0
1705656600.0,23.2
1705658400.0,23.4
1705660200.0,23.5
1705662000.0,23.5
1705663800.0,23.6
1705665600.0,24.0
1705667400.0,24.3
1705669200.0,24.5
1705671000.0,24.9
1705672800.0,25.1
1705674600.0,25.0
1705676400.0,24.8
1705678200.0,25.2
1705680000.0,25.4
1705681800.0,25.4
1705683600.0,25.8
1705685400.0,26.3
1705687200.0,26.6
1705689000.0,26.9
1705690800.0,26.9
1705692600.0,26.7
1705694400.0,26.4
1705696200.0,26.3
1705698000.0,26.3
1705699800.0,25.3
1705701600.0,24.9
1705703400.0,24.9
1705705200.0,25.0
1705707000.0,25.3
1705708800.0,25.4
1705710600.0,25.4
1705712400.0,24.3
1705714200.0,23.5
1705716000.0,23.2
1705717800.0,22.9
1705719600.0,22.7
1705721400.0,22.4
1705723200.0,22.2
1705725000.0,22.0
1705726800.0,21.8
1705728600.0,21.7
1705730400.0,21.7
1705732200.0,21.8
1705734000.0,21.7
1705735800.0,21.8
1705737600.0,21.8
1705739400.0,22.0
1705741200.0,22.3
1705743000.0,22.6
1705744800.0,23.1
1705746600.0,23.6
1705748400.0,23.8
1705750200.0,24.2
1705752000.0,24.5
1705753800.0,24.9
1705755600.0,25.2
1705757400.0,25.4
1705759200.0,25.7
1705761000.0,25.9
1705762800.0,26.3
1705764600.0,26.5
1705766400.0,27.1
1705768200.0,27.6
1705770000.0,27.9
1705771800.0,28.1
1705773600.0,28.5
1705775400.0,28.6
1705777200.0,28.5
1705779000.0,28.4
1705780800.0,28.3
1705782600.0,28.2
1705784400.0,27.9
1705786200.0,27.7
1705788000.0,27.8
1705789800.0,27.9
1705791600.0,28.3
1705793400.0,28.4
1705795200.0,28.3
1705797000.0,27.5
1705798800.0,27.0
1705800600.0,26.7
1705802400.0,26.4
1705804200.0,26.2
1705806000.0,26.1
1705807800.0,26.0
1705809600.0,25.6
1705811400.0,25.3
1705813200.0,24.9
1705815000.0,24.9
1705816800.0,24.9
1705818600.0,24.9
1705820400.0,25.1
1705822200.0,25.2
1705824000.0,25.2
1705825800.0,25.0
1705827600.0,25.1
1705829400.0,25.2
1705831200.0,25.4
1705833000.0,25.4
1705834800.0,25.5
1705836600.0,25.3
1705838400.0,25.7
1705840200.0,26.0
1705842000.0,25.8
1705843800.0,26.0
1705845600.0,26.0
1705847400.0,26.3
1705849200.0,25.2
1705851000.0,24.3
1705852800.0,26.1
1705854600.0,26.6
1705856400.0,26.6
1705858200.0,26.7
1705860000.0,26.9
1705861800.0,26.8
1705863600.0,26.7
1705865400.0,26.3
1705867200.0,24.8
1705869000.0,24.6
1705870800.0,24.1
1705872600.0,23.7
1705874400.0,23.8
1705876200.0,23.8
1705878000.0,23.9
1705879800.0,24.3
1705881600.0,25.0
1705883400.0,25.1
1705885200.0,25.1
1705887000.0,25.1
1705888800.0,24.5
1705890600.0,23.5
1705892400.0,23.3
1705894200.0,22.8
1705896000.0,23.0
1705897800.0,22.9
1705899600.0,22.6
1705901400.0,22.5
1705903200.0,22.4
1705905000.0,22.3
1705906800.0,22.5
1705908600.0,22.5
1705910400.0,22.4
1705912200.0,22.7
1705914000.0,23.5
1705915800.0,23.9
1705917600.0,24.1
1705919400.0,24.3
1705921200.0,24.6
1705923000.0,24.7
1705924800.0,24.6
1705926600.0,24.7
1705928400.0,24.9
1705930200.0,25.1
1705932000.0,25.5
1705933800.0,25.9
1705935600.0,26.3
1705937400.0,26.8
1705939200.0,27.2
1705941000.0,27.5
1705942800.0,27.6
1705944600.0,27.7
1705946400.0,27.7
1705948200.0,26.7
1705950000.0,27.0
1705951800.0,26.7
1705953600.0,25.8
1705955400.0,25.2
1705957200.0,24.6
1705959000.0,25.8
1705960800.0,26.4
1705962600.0,26.4
1705964400.0,26.3
1705966200.0,26.2
1705968000.0,26.2
1705969800.0,25.4
1705971600.0,24.9
1705973400.0,24.7
1705975200.0,24.4
1705977000.0,24.2
1705978800.0,24.1
1705980600.0,24.1
1705982400.0,23.8
1705984200.0,23.5
1705986000.0,23.4
1705987800.0,23.2
1705989600.0,23.0
1705991400.0,22.8
1705993200.0,23.0
1705995000.0,23.2
1705996800.0,23.9
1705998600.0,24.4
1706000400.0,24.6
1706002200.0,24.9
1706004000.0,25.3
1706005800.0,25.6
1706007600.0,25.9
1706009400.0,26.1
1706011200.0,26.4
1706013000.0,26.8
1706014800.0,27.1
1706016600.0,27.5
1706018400.0,28.0
1706020200.0,28.5
1706022000.0,28.7
